Drift ID,Site,Status,Deploy Date,Deploy Lat,Deploy Long,Recover Date,Recover Lat,Recover Long,Recorder,SR (kHz),Duty Cycle,HP Depth (m),Data Start Date,Data End Date
ADRIFT_001,HUM,Complete,8/22/2021,41.07,?124.35,9/4/2021,41.2,?124.35,ST4300HF,384,6 min per 12,100,8/22/2021,8/29/2021
ADRIFT_002,HMB,Complete,6/9/2021,37.38,?122.39,6/29/2021,36.98,?124.25,ST4300HF,384,6 min per 6,100,6/9/2021,6/16/2021
ADRIFT_003,SFB,Complete,7/25/2021,37.97,?123.50,8/3/2021,38.03,?123.48,ST4300HF,384,6 min per 12,100,7/25/2021,8/3/2021
ADRIFT_004,HUM,Failed,7/31/2021,41.84,?125.09,–,–,–,ST4300HF,384,6 min per 12,100,–,–
ADRIFT_005,SFB,Complete,6/10/2021,37.64,?123.32,6/24/2021,37.36,?123.40,ST4300HF,384,6 min per 12,100,6/10/2021,6/22/2021
ADRIFT_006,SFB,Complete,7/25/2021,38.13,?123.54,7/28/2021,38.12,?123.32,ST4300HF,384,6 min per 12,100,7/25/2021,7/28/2021
ADRIFT_007,SFB,Complete,6/10/2021,37.84,?123.42,6/24/2021,37.7,?123.36,ST4300HF,384,6 min per 12,100,6/10/2021,6/24/2021
ADRIFT_008,HMB,Failed,6/9/2021,37.14,?122.96,–,–,–,ST4300HF,384,6 min per 12,100,–,–
ADRIFT_009,HUM,Failed,9/8/2021,41.03,?124.30,–,–,–,ST4300HF,384,6 min per 12,100,–,–
ADRIFT_010,SFB,Failed,9/25/2021,37.8,?123.39,10/14/2021,35.94,?123.40,ST4300HF,384,6 min per 12,50,–,–
ADRIFT_011,SFB,Failed,9/25/2021,37.64,?123.13,10/15/2021,36.66,?123.52,ST4300HF,384,6 min per 12,50,–,–
ADRIFT_012,HUM,Complete,1/18/2022,41.03,?124.43,1/23/2022,40.87,?124.86,ST4300HF,384,Continuous,100,1/18/2022,1/21/2022
ADRIFT_013,MOB,Complete,4/23/2022,36.05,?122.03,5/5/2022,35,?122.27,ST640,384,Continuous,100,4/23/2022,5/4/2022
ADRIFT_014,MOB,Failed,4/22/2022,36.06,?122.01,–,–,–,ST640,384,Continuous,100,–,–
ADRIFT_015,SFB,Complete,6/18/2022,37.96,?123.50,6/21/2022,37.68,?123.35,ST640,384,Continuous,100,6/18/2022,6/21/2022
ADRIFT_016,SFB,Unusable,6/16/2022,37.8,?123.38,6/21/2022,37.37,?123.27,ST640,288,Continuous,100,–,–
ADRIFT_017,HUM,Complete,4/25/2022,41.06,?124.48,4/28/2022,40.7,?124.53,ST4300HF,384,Continuous,100,4/25/2022,4/28/2022
ADRIFT_018,HUM,Complete,4/25/2022,41.05,?124.55,4/28/2022,40.58,?124.87,ST4300HF,384,Continuous,100,4/25/2022,4/28/2022
ADRIFT_019,MBY,Complete,6/21/2022,35.8,?122.19,6/25/2022,35.98,?122.05,ST640,384,Continuous,100,6/21/2022,6/25/2022
ADRIFT_020,MBY,Complete,6/21/2022,35.8,?122.09,6/25/2022,35.61,?121.92,ST640,384,Continuous,100,6/21/2022,6/25/2022
ADRIFT_021,MBY,Complete,6/21/2022,35.8,?121.98,6/25/2022,35.62,?121.82,ST640,384,Continuous,100,6/21/2022,6/25/2022
ADRIFT_022,MBY,Complete,6/21/2022,35.8,?121.88,6/25/2022,35.5,?122.02,ST640,384,Continuous,100,6/21/2022,6/25/2022
ADRIFT_023,MBY,Complete,6/21/2022,35.71,?122.19,6/25/2022,35.84,?121.88,ST640,384,Continuous,100,6/21/2022,6/25/2022
ADRIFT_024,MBY,Complete,6/21/2022,35.72,?122.09,6/25/2022,35.72,?122.11,ST640,384,Continuous,100,6/21/2022,6/25/2022
ADRIFT_025,MBY,Complete,6/21/2022,35.72,?121.98,6/25/2022,35.54,?122.03,ST640,384,Continuous,100,6/21/2022,6/25/2022
ADRIFT_026,MBY,Complete,6/21/2022,35.72,?121.88,6/25/2022,35.75,?122.01,ST640,384,Continuous,100,6/21/2022,6/25/2022
ADRIFT_027,SFB,Complete,7/26/2022,37.9,?123.44,7/30/2022,37.68,?123.78,ST640,384,Continuous,100,7/26/2022,7/30/2022
ADRIFT_028,SFB,Complete,7/26/2022,37.89,?123.38,7/30/2022,37.72,?123.80,ST640,384,Continuous,100,7/26/2022,7/30/2022
ADRIFT_029,HUM,Failed,7/28/2022,41.13,?124.44,8/1/2022,40.95,?124.32,ST4300HF,384,Continuous,100,–,–
ADRIFT_030,HUM,Complete,7/28/2022,41.13,?124.54,8/1/2022,41.05,?125.03,ST4300HF,384,Continuous,100,7/28/2022,8/1/2022
ADRIFT_031,HUM,Complete,7/28/2022,41.13,?124.64,8/1/2022,41.08,?125.02,ST4300HF,384,Continuous,100,7/28/2022,8/1/2022
ADRIFT_032,HUM,Complete,9/13/2022,41.05,?124.53,9/15/2022,41.35,?124.54,ST4300HF,384,Continuous,100,9/13/2022,9/15/2022
ADRIFT_033,HUM,Complete,9/13/2022,41.05,?124.43,9/15/2022,41.46,?124.45,ST4300HF,384,Continuous,100,9/13/2022,9/15/2022
ADRIFT_034,SFB,Complete,9/27/2022,38.05,?123.56,10/1/2022,38.33,?123.45,ST640,384,Continuous,100,9/27/2022,10/1/2022
ADRIFT_035,SFB,Unusable,9/26/2022,38.13,?123.53,10/1/2022,38.05,?123.41,ST640,384,Continuous,100,–,–
ADRIFT_036,HUM,Complete,11/16/2022,41.05,?124.43,11/21/2022,40.93,?124.34,ST4300HF,384,Continuous,100,11/16/2022,11/20/2022
ADRIFT_037,HUM,Complete,11/16/2022,41.05,?124.51,11/21/2022,41.01,?124.41,ST4300STD,288,Continuous,100,11/16/2022,11/21/2022
ADRIFT_038,HUM,Complete,11/16/2022,41.05,?124.58,11/21/2022,40.99,?124.41,ST4300HF,384,Continuous,100,11/16/2022,11/20/2022
ADRIFT_039,HUM,Complete,12/13/2022,40.81,?124.47,12/16/2022,40.7,?124.55,ST4300HF,384,Continuous,100,12/13/2022,12/16/2022
ADRIFT_040,HUM,Complete,12/13/2022,40.81,?124.54,12/16/2022,40.82,?124.74,ST4300STD,288,Continuous,100,12/13/2022,12/16/2022
ADRIFT_041,HUM,Complete,12/13/2022,40.81,?124.61,12/16/2022,41.04,?124.43,ST4300HF,384,Continuous,100,12/13/2022,12/16/2022
ADRIFT_042,ORE,Complete,3/16/2023,44.6,?124.75,3/21/2023,44.6,?124.70,ST4300HF,384,Continuous,100,3/16/2023,3/21/2023
ADRIFT_043,ORE,Complete,3/16/2023,44.78,?124.72,3/20/2023,44.7,?124.61,ST4300HF,384,Continuous,100,3/16/2023,3/20/2023
ADRIFT_044,ORE,Complete,3/16/2023,44.54,?124.66,3/21/2023,44.55,?124.51,ST4300HF,384,Continuous,100,3/16/2023,3/20/2023
