"Drift_ID","Site","Status","Deployment_Date","Deployment_Latitude","Deployment_Longitude","Recovery_Date","Recovery_Latitude","Recovery_Longitude","Recorder","SampleRate_kHz","DutyCycle","Deployment_Depth_m.","Data_Start","Data_End"
"CCES_004","HUM","Complete","2018-07-25","45.08","−128.21","2018-10-13","41.76","−127.15","SM3M","256","2 min per 20","100","2018-07-30","2018-10-12"
"CCES_007","HUM","Complete","2018-08-05","41.26","−125.02","2018-10-22","42.04","−124.48","ST4300HF","288","2 min per 20","150","2018-08-05","2018-09-22"
"CCES_008","HUM","Complete","2018-08-16","38.95","−126.64","2018-10-10","34.38","−128.32","ST4300HF","288","2 min per 20","150","2018-08-16","2018-10-01"
"CCES_010","PTA","Complete","2018-08-22","36.76","−125.06","2018-10-22","35.97","−122.94","ST4300HF","576","2 min per 20","150","2018-08-22","2018-10-21"
"CCES_012","MOB","Complete","2018-08-30","34.83","−123.81","2018-10-06","34.03","−124.39","ST4300HF","288","2 min per 20","150","2018-08-30","2018-10-06"
"CCES_013","CHI","Complete","2018-09-11","33.90","−120.91","2018-10-23","31.44","−119.78","ST4300HF","288","2 min per 20","150","2018-09-11","2018-10-23"
"CCES_014","BCN","Complete","2018-10-05","32.27","−118.26","2018-11-01","31.95","−119.25","ST4300HF","576","2 min per 20","150","2018-10-05","2018-11-01"
"CCES_016","BCN","Complete","2018-10-30","31.35","−117.42","2018-11-21","32.13","−118.03","ST4300HF","576","2 min per 10","150","2018-10-30","2018-11-15"
"CCES_017","BCN","Complete","2018-10-31","30.73","−118.69","2018-11-24","28.29","−118.44","SM3M","256","2 min per 4","100","2018-10-31","2018-11-24"
"CCES_018","BCN","Complete","2018-10-31","30.01","−120.18","2018-11-23","29.51","−118.82","ST4300HF","576","2 min per 6","150","2018-10-31","2018-11-16"
"CCES_019","BCN","Complete","2018-11-01","30.05","−117.46","2018-11-27","28.40","−115.55","ST4300HF","576","2 min per 10","150","2018-11-01","2018-11-18"
"CCES_020","BCN","Complete","2018-11-05","29.46","−118.39","2018-11-22","29.39","−116.34","ST4300HF","576","2 min per 10","150","2018-11-05","2018-11-22"
"CCES_021","BCN","Complete","2018-11-06","29.47","−116.01","2018-11-11","29.82","−116.08","ST4300HF","576","2 min per 6","150","2018-11-06","2018-11-11"
"CCES_022","BCN","Complete","2018-11-07","28.72","−116.48","2018-11-27","28.28","−116.68","ST4300HF","576","2 min per 10","150","2018-11-07","2018-11-23"
"CCES_023","BCN","Complete","2018-11-22","30.93","−117.38","2018-12-03","31.05","−119.01","ST4300HF","576","2 min per 5","150","2018-11-22","2018-12-03"
