"","Project","DeploymentID","Site","Cruise","Status","Platform","Region","Type","Instrument_ID","GPS_Tracker","GPS_ID","GPS_Timing","Depth_Sensor","Deployment_Latitude","Deployment_Longitude","Deployment_Date","Deployment_Depth_m
","Deploy_Vessel","Recovery_Date","Recovery_Latitude","Recovery_Longitude","Retrieve_Vessel","Array_name","Number_of_Sensors","ChannelNumber_1","SensorNumber_1","ChannelNumber_2","SensorNumber_2","Data_Start","Data_End","RecordingDuration_m","RecordingInterval_m","SampleRate_kHz","Quality_Analyst","Quality_Category","Quality_LowFreq","Quality_HighFreq","Data_ID","Pressure","Acceleration","Temperature","Known Takes","SanctuaryPermit","Personnel","Notes","DutyCycle","DeployDuration_days","RecordDuration_hrs"
"1","ADRIFT",1,"HUM","MBARI","Complete","drift","WCoastUSA","ST4300HF","5987","SPOT","R/S","30/60","16396",41.07169,-124.35431,2021-08-22 17:53:00,100,"R/V Western Flyer",2021-09-04 19:53:00,41.19933,-124.35431,"F/V Scrimshaw","W01_9299",2,1,856135,2,"856147",2021-08-22 18:59:59,2021-08-29 09:30:30,"6","12",384,"Cory Hom-Weaver","compromised",50,384000,"ADRIFT_001","No","10","10",NA,NA,NA,NA,"6 min for every 12",13.0833333333333,158.508611111111
"2","ADRIFT",2,"HMB","ACCESS","Complete","drift","WCoastUSA","ST4300HF","5296","SPOT","X/Y","30/60","15712",37.38445,-122.39095,2021-06-09 18:38:00,100,"R/V Fullmar",2021-06-29 23:58:00,36.97772,-124.24507,"R/V Shimada","K01_9296",2,1,856097,2,"856059",2021-06-09 18:12:23,2021-06-16 22:48:53,"6","6",384,"Cory Hom-Weaver","compromised",25,384000,"ADRIFT_002","No","10","10",NA,NA,"Shannon Rankin, Anne Simonis","Actually continuous recording, previously labeled as 6/12 duty cycle. 6 second gaps between recordings","6 min for every 6",20.2222222222222,172.608333333333
"3","ADRIFT",3,"SFB","ACCESS","Complete","drift","WCoastUSA","ST4300HF","1208786975","SPOT","E/AH","30/60","15720",37.96585,-123.50412,2021-07-25 18:33:00,100,"R/V Fullmar",2021-08-03 16:04:00,38.03326,-123.47699,"R/V Mussel Point","P01_9296",2,1,856122,2,NA,2021-07-25 18:35:58,2021-08-03 16:32:07,"6","12",384,"Cory Hom-Weaver","compromised",50,384000,"ADRIFT_003","No","10","10",NA,"CBNMS","Cordell Bank National Marine Sanctuary","Grounded on Cordell Bank 7/27/2021 at 10:30","6 min for every 12",8.89652777777778,213.935833333333
"4","ADRIFT",4,"HUM","CPS","Failed","drift","WCoastUSA","ST4300HF","5988","SPOT","A/B","30/60","16627",41.84475,-125.0939,2021-07-31,100,"R/V Lasker",NA,NA,NA,NA,"K01_9296",2,1,856097,2,"856059",NA,NA,"6","12",384,NA,"unusable",NA,NA,"ADRIFT_004",NA,NA,NA,NA,NA,NA,NA,"6 min for every 12",NA,NA
"5","ADRIFT",5,"SFB","ACCESS","Complete","drift","WCoastUSA","ST4300HF","1208786975","SPOT","K/AF","30/60","15815",37.64012,-123.31702,2021-06-10 18:30:00,100,"R/V Fullmar",2021-06-24 16:51:00,37.35722,-123.40192,"R/V Fulmar","P01_9296",2,1,856122,2,NA,2021-06-10 18:30:41,2021-06-22 21:21:24,"6","12",384,"Cory Hom-Weaver","compromised",30,384000,"ADRIFT_005","No","10","10",NA,NA,"Shannon Rankin, Anne Simonis","Duty cycle seems to change; Check to see if all files actually copied over. Duty cycle changes. First 9 wav files have 7 second gap, then the rest are 6 minutes on, 6 minutes. The final 8 files have anywhere from .3 hour - 8.4 hour gaps","6 min for every 12",13.93125,290.845277777778
"6","ADRIFT",6,"SFB","ACCESS","Complete","drift","WCoastUSA","ST4300HF","5318","SPOT","K/AF","30/60","15815",38.12932,-123.54153,2021-07-25 19:11:00,100,"R/V Fullmar",2021-07-28 22:24:00,38.12057,-123.31761,"F/V Karen Jeanne","M01_9296",2,1,856116,2,NA,2021-07-25 19:11:59,2021-07-28 22:05:59,"6","12",384,"Cory Hom-Weaver","compromised",50,384000,"ADRIFT_006","No","10","10",NA,"CBNMS","Dick Ogg","Removed Blue Oceans buoy to attempt to reduce noise","6 min for every 12",3.13402777777778,74.9
"7","ADRIFT",7,"SFB","ACCESS","Complete","drift","WCoastUSA","ST4300HF","5318","SPOT","E/AH","30/60","15720",37.84347,-123.4218,2021-06-10 16:49:00,100,"R/V Fullmar",2021-06-24 15:46:00,37.69527,-123.35722,"R/V Fulmar","M01_9296",2,1,856116,2,NA,2021-06-10 17:33:22,2021-06-24 10:00:08,"6","12",384,"Cory Hom-Weaver","compromised",30,384000,"ADRIFT_007","No","10","10",NA,"CBNMS, GFNMS, MBNMS","Shannon Rankin, Anne Simonis","DASBR included Blue Oceans test buoy","6 min for every 12",13.95625,328.446111111111
"8","ADRIFT",8,"HMB","ACCESS","Failed","drift","WCoastUSA","ST4300HF","5297","SPOT","A/B","30/60","15756",37.13713,-122.96428,2021-06-09,100,"R/V Fullmar",NA,NA,NA,NA,"O01_9296",2,1,1,2,"0",NA,NA,"6","12",384,NA,"unusable",NA,NA,"ADRIFT_008","No","10","10",NA,NA,NA,"Lost at sea (not retrieved)","6 min for every 12",NA,NA
"9","ADRIFT",9,"HUM","THL","Failed","drift","WCoastUSA","ST4300HF","5985","SPOT","G/F","30/60","16835",41.03417,-124.29747,2021-09-08 06:00:00,100,"R/V Coral Sea",NA,NA,NA,"R/V Fairweather","Y01_9299",2,1,856134,2,"856146",NA,NA,"6","12",384,NA,"unusable",NA,NA,"ADRIFT_009","No","10","10",NA,NA,NA,"Acoustic array lost at sea. High flyer with spots recovered. Rope near surface buoy snapped upon retrieval","6 min for every 12",NA,NA
"10","ADRIFT",10,"SFB","ACCESS","Failed","drift","WCoastUSA","ST4300HF","1208786975","SPOT","E/AH","30/60","15815",37.80386,-123.38908,2021-09-25 20:56:00,50,"R/V Fullmar",2021-10-14,35.94354,-123.39748,"R/V Zephyr","M01_9296",2,1,856116,2,NA,NA,NA,"6","12",384,NA,"unusable",NA,NA,"ADRIFT_010","No","10","10",NA,"CBNMS, GFNMS",NA,NA,"6 min for every 12",18.1277777777778,NA
"11","ADRIFT",11,"SFB","ACCESS","Failed","drift","WCoastUSA","ST4300HF","5318","SPOT","K/AF","30/60","15720",37.640683,-123.1331,2021-09-25 19:36:00,50,"R/V Fullmar",2021-10-15,36.65655,-123.5215,"R/V Fairweather","P01_9296",2,1,856122,2,NA,NA,NA,"6","12",384,NA,"unusable",NA,NA,"ADRIFT_011","No","10","10",NA,"GFNMS",NA,NA,"6 min for every 12",19.1833333333333,NA
"12","ADRIFT",12,"HUM","CS220117","Complete","drift","WCoastUSA","ST4300HF","5992","SPOT","E/AH","30/60","15865",41.03348,-124.43,2022-01-18 03:16:00,100,"R/V Coral Sea",2022-01-23 18:52:00,40.86609,-124.86101,"F/V Schrimshaw","D02_9299",2,1,856162,2,"856168",2022-01-18 03:42:19,2022-01-21 19:39:12,"Continuous",NA,384,"Kourtney Burger","compromised",30,192000,"ADRIFT_012","No","10","10",NA,NA,"Blair Winnacott","Recorder battery died earlier than expected. Data has unexpected gaps (4 seconds - 6 minutes) throughout recording, see Gaps.txt in metadata folder for list","Continuous",5.65,87.9480555555556
"13","ADRIFT",13,"MOB","CALCOFI-2204SH","Complete","drift","WCoastUSA","ST640","6655","SPOT","AG/Big B/Rock 7","30/60","16546",36.049917,-122.031117,2022-04-23 20:16:00,100,"R/V Shimada",2022-05-05 16:17:00,34.99745,-122.2717,"R/V Marcus G. Langseth","E02_9299",2,1,856163,2,"856171",2022-04-23 20:44:52,2022-05-04 20:36:02,"Continuous",NA,384,"Cory Hom-Weaver","compromised",1000,192000,"ADRIFT_013",NA,"10",NA,NA,"MBNMS","Amy Hayes","Banging noise in lower frequencies, one 23 minute gap in recording","Continuous",11.8340277777778,263.852777777778
