,Upwelling,Post-Upwelling,Winter
Song,,,
Oregon,0.03 (1430) ,0.00 (493)? ,– (–)
Humboldt,0.13 (489)? ,0.42 (1048) ,0.58 (308) 
San Francisco,0.03 (960)? ,0.36 (688)? ,– (–)
Morro Bay,0.40 (2034) ,0.24 (1353) ,– (–)
Social,,,
Oregon,0.01 (1430) ,0.04 (493)? ,– (–)
Humboldt,0.01 (489)? ,0.16 (1048) ,0.00 (308) 
San Francisco,0.01 (960)? ,0.24 (688)? ,– (–)
Morro Bay,0.02 (2034) ,0.02 (1353) ,– (–)
Unidentified,,,
Oregon,0.03 (1430) ,0.01 (493)? ,– (–)
Humboldt,0.15 (489)? ,0.26 (1048) ,0.18 (308) 
San Francisco,0.06 (960)? ,0.28 (688)? ,– (–)
Morro Bay,0.16 (2034) ,0.21 (1353) ,– (–)
